links	date_c
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/069.html	4/26/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/070.html	4/29/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/071.html	4/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/072.html	5/1/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/073.html	5/2/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/074.html	5/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/075.html	5/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/076.html	5/7/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/077.html	5/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/078.html	5/9/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/079.html	5/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/080.html	5/14/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/081.html	5/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/082.html	5/16/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/083.html	5/17/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/084.html	5/20/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/085.html	5/21/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/086.html	5/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/087.html	5/28/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/088.html	5/29/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/089.html	5/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/090.html	5/31/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/091.html	6/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/092.html	6/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/093.html	6/5/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/094.html	6/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/095.html	6/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/096.html	6/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/097.html	6/13/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/098.html	6/14/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/099.html	6/17/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/100.html	6/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/101.html	6/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/102.html	6/20/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/103.html	6/21/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/104.html	6/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/105.html	6/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/106.html	6/26/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/107.html	6/27/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/108.html	6/28/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/109.html	7/1/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/110.html	7/2/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/111.html	7/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/112.html	7/9/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/113.html	7/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/114.html	7/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/115.html	7/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/116.html	7/22/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/117.html	7/23/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/118.html	7/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/119.html	7/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9107/120.html	7/26/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9108/121.html	8/13/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9108/122.html	8/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9108/123.html	8/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9108/124.html	8/22/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9108/125.html	8/23/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9108/126.html	8/27/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9108/127.html	8/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/128.html	9/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/129.html	9/5/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/130.html	9/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/131.html	9/9/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/132.html	9/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/133.html	9/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/134.html	9/13/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/135.html	9/16/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/136.html	9/17/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/137.html	9/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/138.html	9/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/139.html	9/20/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/140.html	9/23/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/141.html	9/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/142.html	9/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/143.html	9/26/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/144.html	9/27/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9109/145.html	9/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/146.html	10/1/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/147.html	10/2/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/148.html	10/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/149.html	10/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/150.html	10/7/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/151.html	10/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/152.html	10/9/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/153.html	10/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/154.html	10/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/155.html	10/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/156.html	10/16/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/157.html	10/17/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/158.html	10/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/159.html	10/21/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/160.html	10/22/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/161.html	10/23/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/162.html	10/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9110/163.html	10/31/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/164.html	11/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/165.html	11/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/166.html	11/12/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/167.html	11/13/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/168.html	11/14/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/169.html	11/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/170.html	11/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/171.html	11/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/172.html	11/20/91
